-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2024 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1984,-3.5,32.5,20.91,23.01,24.43,23.63,22.88,23.79,24.55,26.96,27.49,26.48,23.5,22.43,24.17
TS,1984,-3.5,33.125,21.28,23.27,24.71,24.01,23.06,24.17,25.19,27.58,28.02,27.49,24.51,22.52,24.65
TS,1984,-3.5,33.75,21.64,23.93,25.4,24.6,23.37,24.09,24.97,27.1,27.6,27.6,25.15,23.03,24.87
TS,1984,-3.5,34.375,21.68,23.85,25.47,24.82,23.09,23.4,24.18,25.96,26.93,27.15,25.55,23.8,24.66
TS,1984,-3.5,35.0,21.53,23.64,23.95,23.62,21.6,20.95,21.53,23.05,24.15,24.71,23.9,22.68,22.94
TS,1984,-3.5,35.625,20.43,22.74,22.6,22.16,20.09,18.89,19.16,20.49,21.72,22.51,21.98,21.3,21.16
TS,1984,-3.5,36.25,23.04,25.75,25.33,24.69,21.65,20.78,21.35,22.76,24.36,24.79,23.89,23.81,23.51
TS,1984,-3.5,36.875,24.18,27.31,25.63,24.36,21.01,20.01,20.14,21.85,23.93,24.17,23.49,23.88,23.31
TS,1984,-3.5,37.5,26.13,29.3,27.58,26.47,23.02,21.79,21.98,23.71,25.68,25.68,25.11,25.2,25.12
TS,1984,-4.0,32.5,21.15,23.27,24.82,24.35,23.63,23.75,24.27,26.71,27.53,27.63,24.61,23.08,24.57
TS,1984,-4.0,33.125,21.38,23.42,24.8,24.37,23.27,23.45,24.19,26.77,27.63,28.06,25.28,23.24,24.66
TS,1984,-4.0,33.75,22.12,24.36,25.82,25.44,24.15,24.59,25.28,27.7,28.31,28.96,26.4,24.1,25.6
TS,1984,-4.0,34.375,22.41,24.63,25.86,25.58,23.83,24.02,24.81,26.89,27.57,28.1,26.35,24.67,25.39
TS,1984,-4.0,35.0,20.91,22.9,23.2,23.13,21.17,20.73,21.41,23.04,24.17,24.61,23.52,22.46,22.6
TS,1984,-4.0,35.625,20.44,22.52,22.0,21.9,19.89,18.75,18.87,20.43,21.65,22.47,21.93,21.39,21.01
TS,1984,-4.0,36.25,22.92,25.61,24.57,24.5,21.85,20.99,21.43,22.84,24.48,25.01,23.88,23.71,23.47
TS,1984,-4.0,36.875,23.46,26.02,24.83,24.36,21.33,20.28,20.51,21.9,23.89,24.39,23.25,23.34,23.12
TS,1984,-4.0,37.5,25.58,28.37,27.01,26.01,22.92,21.67,21.85,23.22,25.24,25.49,24.51,24.61,24.69
TS,1984,-4.5,32.5,21.33,23.69,25.34,24.9,23.92,23.68,24.33,26.7,27.76,28.27,25.8,23.64,24.95
TS,1984,-4.5,33.125,21.29,23.52,25.01,24.6,23.08,22.68,23.22,25.61,26.95,27.81,25.61,23.54,24.41
TS,1984,-4.5,33.75,22.07,24.64,25.95,25.46,23.49,23.33,23.83,26.21,27.64,28.64,26.7,24.72,25.22
TS,1984,-4.5,34.375,21.3,24.01,24.82,24.24,21.82,21.36,21.87,24.09,25.82,26.48,25.57,24.05,23.78
TS,1984,-4.5,35.0,19.95,22.44,22.18,21.93,19.6,19.1,19.57,21.37,22.72,23.34,22.56,21.63,21.36
TS,1984,-4.5,35.625,20.39,22.99,22.07,21.92,19.89,18.94,19.19,20.89,22.15,22.85,22.07,21.47,21.23
TS,1984,-4.5,36.25,22.92,25.99,24.59,24.44,22.0,21.23,21.5,23.04,24.65,25.13,23.99,23.71,23.59
TS,1984,-4.5,36.875,23.16,26.11,24.41,24.0,21.23,20.28,20.49,21.75,23.7,24.18,22.97,23.03,22.93
TS,1984,-4.5,37.5,24.85,27.79,26.19,25.26,22.12,20.89,20.82,22.06,24.22,24.95,23.86,24.05,23.9
